GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2)
-1223464485,Catan,16,GAME_OVER,316,3,4,22,Catan_3,8.0,2.0,8.0,3.0,Catan,Catan_2,PhaseBasedEnsemblePlayer,1,Catan_3,1,4,4,1,1,3,Catan,3,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_3,PhaseBasedEnsemblePlayer,Catan_2
-145686650,Catan,27,GAME_OVER,572,3,4,23,PhaseBasedEnsemblePlayer,4.0,6.0,10.0,5.0,Catan_3,Catan_2,Catan,4,PhaseBasedEnsemblePlayer,4,2,2,1,1,3,Catan_3,3,Catan_2,Catan,Catan_3,PhaseBasedEnsemblePlayer,Catan,Catan_2
-1932148594,Catan,31,GAME_OVER,632,1,4,24,Catan_2,8.0,8.0,4.0,4.0,PhaseBasedEnsemblePlayer,Catan_3,Catan,1,Catan_2,1,1,1,3,3,3,PhaseBasedEnsemblePlayer,3,Catan_3,Catan,PhaseBasedEnsemblePlayer,Catan_2,Catan,Catan_3
104859448,Catan,28,GAME_OVER,575,1,4,25,Catan_2,10.0,7.0,6.0,4.0,PhaseBasedEnsemblePlayer,Catan_3,Catan,1,Catan_2,1,2,2,3,3,4,PhaseBasedEnsemblePlayer,4,Catan_3,Catan,PhaseBasedEnsemblePlayer,Catan_2,Catan,Catan_3
-1779314429,Catan,20,GAME_OVER,392,2,4,26,Catan_2,4.0,4.0,4.0,10.0,Catan,Catan_3,PhaseBasedEnsemblePlayer,2,Catan_2,2,2,2,2,2,1,Catan,1,Catan_3,PhaseBasedEnsemblePlayer,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan_3
-1245612138,Catan,30,GAME_OVER,587,0,4,27,PhaseBasedEnsemblePlayer,4.0,8.0,7.0,5.0,Catan_2,Catan_3,Catan,4,PhaseBasedEnsemblePlayer,4,1,1,2,2,3,Catan_2,3,Catan_3,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_3
-1534038494,Catan,39,GAME_OVER,823,0,4,28,Catan_3,8.0,9.0,6.0,4.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,2,Catan_3,2,1,1,3,3,4,PhaseBasedEnsemblePlayer,4,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
-2117518674,Catan,29,GAME_OVER,612,3,4,29,Catan,6.0,5.0,9.0,5.0,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,2,Catan,2,3,3,1,1,3,Catan_3,3,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan,PhaseBasedEnsemblePlayer,Catan_2
-1731926791,Catan,65,GAME_OVER,1402,1,4,30,PhaseBasedEnsemblePlayer,8.0,8.0,6.0,6.0,Catan_3,Catan,Catan_2,1,PhaseBasedEnsemblePlayer,1,1,1,3,3,3,Catan_3,3,Catan,Catan_2,Catan_3,PhaseBasedEnsemblePlayer,Catan_2,Catan
1270668361,Catan,24,GAME_OVER,493,1,4,31,PhaseBasedEnsemblePlayer,10.0,6.0,3.0,3.0,Catan,Catan_3,Catan_2,1,PhaseBasedEnsemblePlayer,1,2,2,3,3,3,Catan,3,Catan_3,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_2,Catan_3
